web-scraper-order,web-scraper-start-url,page,annonce-link,annonce-link-href,title,subtitle,price,date,body-type,kilometers,fuel-type,transmission,power,drivetrain,consumption,expertise,expertise-date,accident,warranty,warranty-details,location,listing-id,description-text,created-date,prix-neuf
"1697468816-1","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2001-occasion-10818642","TOYOTA Yaris 1.3 Linea Luna","","CHF 400.–","06.2001","Petite voiture","236'610 km","Essence","Boîte manuelle","86 PS (63 kW)","Traction avant","6 l/100 km","Non","12.10.2020","Non","Non","","Moosstrasse 46, 3126 Kaufdorf BE","Listing ID: 10818642","Wagen hat keine schlüssel. Emissionscode B03. Ab Platz. Fixpreis. Emails werden nicht beantwortet. Für weitere Fragen bitte telefonieren 031 809 06 16","2023-09-01","Non"
"1697468829-2","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2000-occasion-10903595","TOYOTA Yaris 1.3 Linea Luna","Hat keine Klimaanlage Auto fahrt Motor und Getriebe ist ok Unfall vorne","CHF 600.–","06.2000","Petite voiture","309'000 km","Essence","Boîte manuelle","86 PS (63 kW)","Traction avant","6 l/100 km","Oui","14.07.2022","Non","Non","","Jungfraustrasse 19, 2543 Lengnau BE","Listing ID: 10903595","","2023-09-30","Non"
"1697468842-3","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2001-occasion-10663734","TOYOTA Yaris 1.0","","CHF 699.–","12.2001","Petite voiture","220'000 km","Essence","Boîte manuelle","68 PS (50 kW)","Traction avant","5.7 l/100 km","Non","24.09.2020","Non","Non","","Goldacherstrasse 8, 9327 Tübach","Listing ID: 10663734","","2023-07-02","Non"
"1697468855-4","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2001-occasion-10906325","TOYOTA Yaris 1.3 Linea Luna","Ab platz Export","CHF 790.–","03.2001","Petite voiture","244'000 km","Essence","Boîte manuelle","86 PS (63 kW)","Traction avant","5.6 l/100 km","Non","","Non","Non","","Bernstrasse 13A, 3114 Wichtrach","Listing ID: 10906325","","2023-10-02","Non"
"1697468868-5","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2000-occasion-10888229","TOYOTA Yaris 1.3 Linea Luna","","CHF 900.–","11.2000","Petite voiture","200'000 km","Essence","Boîte manuelle","86 PS (63 kW)","Traction avant","6 l/100 km","Non","","Non","Non","","Löwenberg 55, 3280 Murten","Listing ID: 10888229","Sehr gut Zustand  Klima ja","2023-09-25","Non"
"1697468881-6","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2003-occasion-10882391","TOYOTA Yaris 1.0","","CHF 1'000.–","01.2003","Petite voiture","141'000 km","Essence","Boîte manuelle","68 PS (50 kW)","Traction avant","5.7 l/100 km","Non","","Non","Non","","Chemin du Cudrex 13, 1030 Bussigny-Lausanne","Listing ID: 10882391","","2023-09-23","Non"
"1697468894-7","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2001-occasion-10939732","TOYOTA Yaris 1.3 Linea Luna","","CHF 1'300.–","07.2001","Petite voiture","245'000 km","Essence","Boîte manuelle","86 PS (63 kW)","Traction avant","6 l/100 km","Non","","Non","Non","","8951 Fahrweid","Listing ID: 10939732","","2023-10-13","Non"
"1697468907-8","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2001-occasion-10890086","TOYOTA Yaris 1.5 TS","","CHF 1'500.–","08.2001","Petite voiture","283'340 km","Essence","Boîte manuelle","106 PS (78 kW)","Traction avant","6.9 l/100 km","Non","20.01.2021","Non","Non","","3302 Moosseedorf","Listing ID: 10890086","","2023-09-26","Non"
"1697468922-9","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2004-occasion-10839860","TOYOTA Yaris 1.0 Linea Luna","","CHF 1'550.–","07.2004","Petite voiture","195'000 km","Essence","Boîte manuelle","65 PS (48 kW)","Traction avant","5.6 l/100 km","Oui","19.05.2022","Non","Non","","Le Cerneux-Veusil 143 b, 2345 Le Cerneux-Veusil","Listing ID: 10839860","Voiture en bon état, quelques petites rayures et petites tâches de rouilles. Intérieur propre et les services suivis. Elle a été expertisée en 05 2022. Elle est monté avec des pneus d’été et hiver mais à prévoir remplacer. Elle fonctionne bien et à pas de problème.","2023-09-08","Non"
"1697468935-10","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2005-occasion-10817944","TOYOTA Yaris 1.4 D-4D Linea Luna","","CHF 1'600.–","09.2005","Petite voiture","263'279 km","Diesel","Boîte manuelle","75 PS (55 kW)","Traction avant","4.4 l/100 km","Non","19.02.2021","Non","Non","","Allmendenggenstrasse 31b, 3638 Blumenstein","Listing ID: 10817944","Auto fahrbar","2023-09-01","Non"
"1697468948-11","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2005-occasion-10932056","TOYOTA Yaris 1.3 Linea Luna","","CHF 1'600.–","12.2005","Petite voiture","218'634 km","Essence","Boîte manuelle","87 PS (64 kW)","Traction avant","5.8 l/100 km","Non","25.11.2020","Non","Non","","Route du P.A.A. 21, 1772 Grolley","Listing ID: 10932056","","2023-10-10","Non"
"1697468961-12","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2003-occasion-10747274","TOYOTA Yaris 1.4 D-4D Linea Luna","Voiture bon état avec climatisation et non Expertiseé","CHF 1'700.–","05.2003","Petite voiture","245'000 km","Diesel","Boîte manuelle","75 PS (55 kW)","Traction avant","4.4 l/100 km","Non","09.01.2020","Non","Non","","Rte. de Lausanne 16, 1400 Yverdon-les-Bains","Listing ID: 10747274","","2023-08-05","Non"
"1697468974-13","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2003-occasion-10865419","TOYOTA Yaris 1.5 TS","Fahrzeug Standort, Saarbaumstrasse 2, 4415 Lausen","CHF 1'800.–","10.2003","Petite voiture","260'000 km","Essence","Boîte manuelle","105 PS (77 kW)","Traction avant","7 l/100 km","Non","","Non","Non","","Hammerstrasse 39, 4410 Liestal","Listing ID: 10865419","Fahrzeug Standort, Saarbaumstrasse 2, 4415 Lausen 
Motor und Getriebe in Ordnung.
Das Fahrzeug hat Gebrauchsspuren.
Für den Export oder Ersatzteile.","2023-09-18","Non"
"1697468987-14","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2001-occasion-10927673","TOYOTA Yaris 1.3 Linea Luna","MFK 28.04.2020","CHF 1'800.–","05.2001","Petite voiture","170'000 km","Essence","Boîte manuelle","86 PS (63 kW)","Traction avant","6 l/100 km","Non","28.04.2020","Non","Non","","Rheinstrasse 30b, 9430 St. Margrethen","Listing ID: 10927673","sehr gute geflekte autos und sehr freundliche","2023-10-09","Non"
"1697469000-15","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2006-occasion-10755914","TOYOTA Yaris 1.3 Linea Luna","Fahrzeug Standort, Saarbaumstrasse 2, 4415 Lausen","CHF 1'900.–","02.2006","Petite voiture","240'000 km","Essence","Boîte manuelle","87 PS (64 kW)","Traction avant","6 l/100 km","Non","","Non","Non","","Hammerstrasse 39, 4410 Liestal","Listing ID: 10755914","Fahrzeug Standort, Saarbaumstrasse 2, 4415 Lausen 
Motor und Getriebe in Ordnung.
Für den Export oder Ersatzteile.","2023-08-09","Non"
"1697469013-16","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2003-occasion-10850684","TOYOTA Yaris 1.4 D-4D Linea Luna","* AB MFK * AB SERVICE * 8 FACH BEREIFT *","CHF 1'900.–","10.2003","Petite voiture","266'000 km","Diesel","Boîte manuelle","75 PS (55 kW)","Traction avant","4.4 l/100 km","Oui","","Non","Non","","Hauptstrasse 81, 3266 Wiler b. Seedorf","Listing ID: 10850684","Immer wieder 👍
Kann ich empfehlen.","2023-09-12","Non"
"1697469026-17","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2002-occasion-10914528","TOYOTA Yaris 1.0","","CHF 1'900.–","06.2002","Petite voiture","153'000 km","Essence","Boîte manuelle","68 PS (50 kW)","Traction avant","5.7 l/100 km","Oui","18.03.2022","Non","Non","","Dennliweg.31B, 4900 Langenthal","Listing ID: 10914528","Letzte MFK.18.03.2032.einlösen u loss fahren.ab platz","2023-10-04","Non"
"1697469039-18","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2007-occasion-10906600","TOYOTA Yaris 1.3 Linea Luna","","CHF 1'900.–","07.2007","Petite voiture","110'340 km","Essence","Boîte manuelle","87 PS (64 kW)","Traction avant","6 l/100 km","Non","","Non","Non","","Freiburgstrasse 452a, 3018 Bern","Listing ID: 10906600","Motor difakt","2023-10-02","Non"
"1697469052-19","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2005-occasion-10778887","TOYOTA Yaris 1.3 Linea Luna","","CHF 2'000.–","12.2005","Petite voiture","153'000 km","Essence","Boîte manuelle","87 PS (64 kW)","Traction avant","6 l/100 km","Non","","Non","Non","","Rue de Veyrot 16, 1217 Meyrin","Listing ID: 10778887","Très professionnel et il a de l’expérience dans le domaine. À conseiller.","2023-08-17","Non"
"1697469065-20","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2004-occasion-10881625","TOYOTA Yaris 1.3 Linea Luna","","CHF 2'200.–","09.2004","Petite voiture","170'000 km","Essence","Boîte manuelle","87 PS (64 kW)","Traction avant","5.8 l/100 km","Non","13.07.2023","Non","Non","","Flaachtalstrasse 9, 8412 Hünikon (Neftenbach)","Listing ID: 10881625","Frisch ab mfk guter zustand 8 Fach bereift klima","2023-09-22","Non"
"1697469078-21","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2004-occasion-10936573","TOYOTA Yaris 1.3 Linea Luna","","CHF 2'200.–","05.2004","Petite voiture","212'340 km","Essence","Boîte manuelle","87 PS (64 kW)","Traction avant","5.8 l/100 km","Non","04.05.2022","Non","Non","","Freiburgstrasse 452a, 3018 Bern","Listing ID: 10936573","","2023-10-12","Non"
"1697469091-22","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2001-occasion-10653812","TOYOTA Yaris 1.3 Linea Luna","Frisch ab MFK","CHF 2'300.–","02.2001","Petite voiture","221'000 km","Essence","Boîte manuelle","86 PS (63 kW)","Traction avant","6 l/100 km","Non","","Non","Non","","Kleinfeldstrasse 27, 4565 Recherswil","Listing ID: 10653812","Frisch ab Service, lauft Einwandfrei, Auto wird Frisch vorgeführt.","2023-06-28","Non"
"1697469104-23","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2001-occasion-10757423","TOYOTA Yaris 1.3 Linea Luna","","CHF 2'300.–","11.2001","Petite voiture","141'000 km","Essence","Boîte manuelle","86 PS (63 kW)","Traction avant","6 l/100 km","Oui","23.03.2022","Non","Non","","8951 Fahrweid","Listing ID: 10757423","","2023-08-09","Non"
"1697469117-24","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2006-occasion-10919775","TOYOTA Yaris 1.3 Linea Luna","Ab platz","CHF 2'300.–","06.2006","Petite voiture","166'700 km","Essence","Boîte manuelle","87 PS (64 kW)","Traction avant","6 l/100 km","Non","","Non","Non","","9000 St. Gallen","Listing ID: 10919775","","2023-10-06","Non"
"1697469130-25","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2003-occasion-10940215","TOYOTA Yaris 1.5 TS","","CHF 2'390.–","04.2003","Petite voiture","233'000 km","Essence","Boîte manuelle","105 PS (77 kW)","Traction avant","7 l/100 km","Non","06.10.2020","Non","Non","","Bruggmatte 11, 6260 Reiden","Listing ID: 10940215","Mechanisch gut optisch kleine Gebrauchspuren und Lackschäden.","2023-10-13","Non"
"1697469143-26","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2001-occasion-10545923","TOYOTA Yaris 1.5 TS","Abplatz ohne MFK.Diverse Kratzer und Beulen","CHF 2'398.–","07.2001","Petite voiture","207'000 km","Essence","Boîte manuelle","106 PS (78 kW)","Traction avant","6.9 l/100 km","Non","26.05.2011","Non","Non","","Emausstrasse 1, 5621 Zufikon","Listing ID: 10545923","Abplatz ohne MFK.
Diverse Kratzer und Beulen","2023-05-23","Non"
"1697469156-27","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2000-occasion-10334120","TOYOTA Yaris 1.3 Linea Luna","Sprache+++Deutsch+Franqzösich++++ Eintausch+++Anakauf und Verkauf+++Kredit.Leasing Möglisch","CHF 2'400.–","10.2000","Petite voiture","206'000 km","Essence","Boîte manuelle","86 PS (63 kW)","Traction avant","6 l/100 km","Oui","","Non","Non","","Witzbergstrasse 5k, 8330 Pfäffikon ZH","Listing ID: 10334120","","2023-03-10","Non"
"1697469171-28","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2008-occasion-10858076","TOYOTA Yaris 1.3 16V Linea Luna","**Aus erster Hand**einwandfrei fahrbar**Motor & Getriebe in Ordnung**Servicegepflegt**ideal zum selber aufbereiten**","CHF 2'400.–","10.2007","Petite voiture","220'000 km","Essence","Boîte manuelle","87 PS (64 kW)","Traction avant","6 l/100 km","Non","14.01.2021","Non","Non","","Langacker 792, 9230 Flawil","Listing ID: 10858076","Herzlich willkommen auf einem unserer Angebote. Das von Ihnen ausgewählte Fahrzeug kann jederzeit bei uns besichtigt sowie Probe gefahren werden sowie auch gegen Voranmeldung auf dem Lift geprüft werden.

Besuchen Sie uns doch auf  www.langackergarage.ch 

Wir beraten Sie gerne…

____________________________________

Dieser schöne Yaris ist:

- gepflegt
- technisch in gutem Zustand
- Hinterachse ist rostig...
- sollte ersetzt oder repariert werden
- wenig Rost am Unterboden
- einwandfrei fahrbar
- ideal zum selber aufbereiten
- Serviceheft vorhanden
- Fahrzeug wird ab Platz ohne Garantie verkauft



Weitere attraktive Angebote finden Sie bei uns vor Ort



Ihr A. von Rotz","2023-09-14","CHF 23'680"
"1697469184-29","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2008-occasion-10915260","TOYOTA Yaris 1.3 Chic","","CHF 2'400.–","07.2008","Petite voiture","198'340 km","Essence","Boîte manuelle","87 PS (64 kW)","Traction avant","6 l/100 km","Non","","Non","Non","","Freiburgstrasse 452a, 3018 Bern","Listing ID: 10915260","Fader Gebrochin. Auto farbar","2023-10-04","Non"
"1697469197-30","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2003-occasion-10862873","TOYOTA Yaris 1.3 Linea Luna","Läuft gut, Geprüft, Gutes Winterauto.","CHF 2'450.–","08.2003","Petite voiture","230'000 km","Essence","Boîte manuelle","87 PS (64 kW)","Traction avant","5.8 l/100 km","Oui","09.01.2023","Non","Non","","Frutigerstrasse 40, 3711 Mülenen","Listing ID: 10862873","","2023-09-16","Non"
"1697469210-31","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2004-occasion-10550399","TOYOTA Yaris 1.3 Linea Luna","schöner sparsamer Yaris mit div. Neuteile bei Mfk 8fach bereift,guter und fahrbereiter Zustand,mit Klima neuer Festpreis !","CHF 2'499.–","01.2004","Petite voiture","232'350 km","Essence","Boîte manuelle","87 PS (64 kW)","Traction avant","5.8 l/100 km","Oui","07.06.2022","Non","Non","","Sornthalstrasse 9, 9213 Hauptwil","Listing ID: 10550399","guter und fahrbereiter Zustand,div. Neuteile wie, Bremsen komplett,neue Scheinwerfer,Stossdämpfer,Radlager  etc. rep. seit Mfk ca. 2000chf bei Fragen:  +41794129736  Standort Zihlschlacht/TG","2023-05-24","CHF 28'850"
"1697469223-32","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2002-occasion-10941997","TOYOTA Yaris 1.3 Linea Sol","Ab MFK 11.11.2022 Frisch Service 3 Monate Garantie*","CHF 2'499.–","01.2002","Petite voiture","200'000 km","Essence","Boîte manuelle","86 PS (63 kW)","Traction avant","5.6 l/100 km","Oui","11.11.2022","Non","Non","","Mo.-Fr.8:30-12:00 und 13:00-18:00 Sa.9:00-15:00, 8570 Weinfelden","Listing ID: 10941997","","2023-10-14","Non"
"1697469236-33","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2001-occasion-10921794","TOYOTA Yaris 1.3 Linea Sol","","CHF 2'499.–","07.2001","Petite voiture","220'400 km","Essence","Automatique","86 PS (63 kW)","Traction avant","6.7 l/100 km","Oui","12.05.2021","Non","Non","","Zürcherstrasse 27, 8317 Tagelswangen","Listing ID: 10921794","8fach","2023-10-06","Non"
"1697469249-34","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2000-occasion-10572891","TOYOTA Yaris 1.0 Linea Luna","° Top Angebot ° Ab MFK 03.2023 ° Auto laüft einwandfrei °","CHF 2'500.–","08.2000","Petite voiture","192'000 km","Essence","Boîte manuelle","68 PS (50 kW)","Traction avant","5.7 l/100 km","Oui","28.03.2023","Non","Non","","Wägitalstrasse 18, 8854 Siebnen","Listing ID: 10572891","° Top Angebot ° Ab MFK 03.2023 ° Auto laüft einwandfrei °","2023-06-01","Non"
"1697469262-35","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2005-occasion-10861351","TOYOTA Yaris 1.3 Linea Luna","","CHF 2'500.–","04.2005","Petite voiture","138'000 km","Essence","Boîte manuelle","87 PS (64 kW)","Traction avant","5.8 l/100 km","Oui","26.09.2022","Non","Non","","Rue  de Corbaroche 42, 1723 Marly","Listing ID: 10861351","","2023-09-15","Non"
"1697469277-36","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2006-occasion-10888033","TOYOTA Yaris 1.3 Linea Sol","","CHF 2'500.–","10.2006","Petite voiture","165'000 km","Essence","Boîte manuelle","87 PS (64 kW)","Traction avant","6 l/100 km","Non","06.03.2020","Non","Non","","8134 Adliswil","Listing ID: 10888033","Das Auto steht an der Webereistr.47/8134 Adliswil 

Mechanische ist im gut Zustand, lückenlos Serviceheft 

Der Interieurs ist gut 

Die Carrassorie ist Schön, ausser paar kleine Beule 

Stahlfelgen mit Winterreifen","2023-09-25","Non"
"1697469290-37","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2003-occasion-10920936","TOYOTA Yaris 1.3 Linea Luna","Wurde seit der letzten MFK am 5 Mai 2023 fast nich mehr gefahren / 8 fache Bereifung.","CHF 2'500.–","05.2003","Petite voiture","179'000 km","Essence","Boîte manuelle","87 PS (64 kW)","Traction avant","5.8 l/100 km","Oui","05.05.2023","Non","Non","","Beichlen, 8820 Wädenswil","Listing ID: 10920936","Ich habe ein gebrauchtes und größeres Auto gesucht. Am Wochenende hatte ich eine ...","2023-10-06","Non"
"1697469303-38","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2008-occasion-9409079","TOYOTA Yaris 1.8 TS","Motor Lampe leuchtet Manchmal","CHF 2'700.–","03.2008","Petite voiture","258'000 km","Essence","Boîte manuelle","133 PS (98 kW)","Traction avant","7.2 l/100 km","Oui","04.03.2022","Non","Non","","Industriestrasse 143, 3178 Bösingen","Listing ID: 9409079","","2022-11-14","Non"
"1697469316-39","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2006-occasion-10555919","TOYOTA Yaris 1.3 Linea Luna","","CHF 2'800.–","02.2006","Petite voiture","206'000 km","Essence","Boîte manuelle","87 PS (64 kW)","Traction avant","6 l/100 km","Non","","Non","Non","","1880 Bex","Listing ID: 10555919","","2023-05-25","Non"
"1697469329-40","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2004-occasion-10658849","TOYOTA Yaris 1.4 D-4D Linea Sol","Frisch ab MFK und frisch ab Service","CHF 2'800.–","10.2004","Petite voiture","248'000 km","Diesel","Boîte manuelle","75 PS (55 kW)","Traction avant","4.4 l/100 km","Oui","22.09.2023","Non","Non","","Ribistrasse 1a, 8362 Balterswil","Listing ID: 10658849","Frisch ab MFK und frisch ab Service und wurde regelmäsig Service gemacht.
Klima 
Schalter Getriebe 
1,5 Liter 
Diesel 
8 fach bereift","2023-06-30","Non"
"1697469342-41","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2004-occasion-10641783","TOYOTA Yaris 1.0 Eco","COLLAUDO FRESCO,,OTTIMO STATO,,FRISCH MFK UND SERVICE","CHF 2'800.–","09.2004","Petite voiture","170'000 km","Essence","Boîte manuelle","65 PS (48 kW)","Traction avant","5.1 l/100 km","Oui","","Non","Non","","via Cantonale 115, 6595 Riazzino","Listing ID: 10641783","FRISCH MFK
COLLAUDO FRESCO","2023-06-24","Non"
"1697469355-42","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2008-occasion-10787501","TOYOTA Yaris 1.8 TS","","CHF 2'800.–","08.2008","Petite voiture","221'000 km","Essence","Boîte manuelle","133 PS (98 kW)","Traction avant","7.2 l/100 km","Non","03.02.2020","Non","Non","","Eggerswil 10, 6207 Notwil","Listing ID: 10787501","","2023-08-21","Non"
"1697469368-43","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2001-occasion-10114401","TOYOTA Yaris 1.3 Linea Luna","Auto frisch ab MFK","CHF 2'900.–","11.2001","Petite voiture","220'000 km","Essence","Boîte manuelle","86 PS (63 kW)","Traction avant","6 l/100 km","Oui","14.02.2023","Non","Non","","Löwenberg 55, 3280 Murten","Listing ID: 10114401","Top Zustand","2022-12-19","Non"
"1697469381-44","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2006-occasion-10599127","TOYOTA Yaris 1.4 D-4D Linea Luna","Frisch MFK,Gut zustand.","CHF 2'900.–","01.2006","Petite voiture","212'000 km","Diesel","Boîte manuelle","75 PS (55 kW)","Traction avant","4.4 l/100 km","Oui","04.09.2023","Non","Non","","Sankt Gallerstrasse 346, 8409 winterthur","Listing ID: 10599127","Top","2023-06-09","Non"
"1697469394-45","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2002-occasion-10871040","TOYOTA Yaris 1.0","Frisch ab MFK","CHF 2'900.–","04.2002","Petite voiture","145'000 km","Essence","Boîte manuelle","68 PS (50 kW)","Traction avant","5.7 l/100 km","Oui","19.09.2023","Non","Non","","Luzernerstrasse 55, 5630 Muri AG","Listing ID: 10871040","Frisch ab MFK.Frisch ab Service(neue Bremse ersetzt,Stabi,Kerzen,alle Filtern usw.)Klima,ABS,Servo,ZV,R/CD.","2023-09-19","Non"
