web-scraper-order,web-scraper-start-url,page,annonce-link,annonce-link-href,title,subtitle,price,date,body-type,kilometers,fuel-type,transmission,power,drivetrain,consumption,expertise,expertise-date,accident,warranty,warranty-details,location,listing-id,created-date,new-price,description-text
1698884905-133,https://www.autoscout24.ch/fr/voitures/volvo--xc60?cond=49&pricefrom=33890&make=81&model=559&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2021-occasion-10906441,VOLVO XC60 B4 Diesel Mild Hybrid AWD Momentum Geartronic,,CHF 39'800.–,09.2021,SUV / Tout-terrain,60'900 km,Hybride léger diesel/électrique,Automatique,197 PS (145 kW),4 roues motrices,7.2 l/100 km,Oui,,Non,Oui,"Dès la 1ère mise en circulation, 60 mois ou 150'000 km","San Bastiaun 55, 7503 Samedan",Listing ID: 10906441,2023-10-02,Non,Toller Service und sehr hilfsbereites Team! Im Urlaub hatte unser Auto ein Problem ...
1698884918-134,https://www.autoscout24.ch/fr/voitures/volvo--xc60?cond=49&pricefrom=33890&make=81&model=559&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2019-occasion-10482667,VOLVO XC60 T8 eAWD Inscription Geartronic,Pine Grey Bowers & Wilkins,CHF 39'800.–,03.2019,SUV / Tout-terrain,96'000 km,Hybride rechargeable essence/électrique,Automatique,391 PS (288 kW),4 roues motrices,3.5 l/100 km,Non,06.03.2023,Non,Oui,"Dès la 1ère mise en circulation, 60 mois ou 150'000 km","Chemin de Champagne, 1025 St Sulpice",Listing ID: 10482667,2023-05-01,CHF 107'035,
1698884931-135,https://www.autoscout24.ch/fr/voitures/volvo--xc60?cond=49&pricefrom=33890&make=81&model=559&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2019-occasion-10901411,VOLVO XC60 B4 Diesel Mild Hybrid AWD Inscription Geartronic,,CHF 39'800.–,09.2019,SUV / Tout-terrain,99'500 km,Hybride léger diesel/électrique,Automatique,197 PS (145 kW),4 roues motrices,7.2 l/100 km,Non,,Non,Oui,"Dès la 1ère mise en circulation, 60 mois ou 150'000 km","Route de Delémont 63, 2802 Develier",Listing ID: 10901411,2023-09-29,CHF 75'990,"Rien à redire, tout nickel 👌"
1698884944-136,https://www.autoscout24.ch/fr/voitures/volvo--xc60?cond=49&pricefrom=33890&make=81&model=559&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2018-occasion-10116923,VOLVO XC60 D4 AWD Inscription,,CHF 39'800.–,01.2018,SUV / Tout-terrain,86'500 km,Diesel,Automatique,190 PS (140 kW),4 roues motrices,-,Non,,Non,Non,,"Kantonsstrasse 61, 3930 Visp",Listing ID: 10116923,2022-12-20,Non,"Winterkompletträder, Werksgarantieverlängerung bis 01.2025"
1698884957-137,https://www.autoscout24.ch/fr/voitures/volvo--xc60?cond=49&pricefrom=33890&make=81&model=559&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2020-occasion-10929974,VOLVO XC60 2.0 T6 R-Design AWD,** 360° Kamera ** Panorama-Glasdacch ** Harman/Kardon Musikanlage ** Spurhalte und Kurvenassistent ** Head-Up Display **,CHF 39'800.–,11.2019,SUV / Tout-terrain,66'500 km,Essence,Automatique,310 PS (228 kW),4 roues motrices,7.5 l/100 km,Oui,,Non,Oui,"À partir de la livraison du véhicule, 24 mois","Wilerstrasse 71, 9200 Gossau",Listing ID: 10929974,2023-10-10,Non,** 360° Kamera ** Panorama-Glasdacch ** Harman/Kardon Musikanlage ** Spurhalte und Kurvenassistent ** Head-Up Display **
1698884972-138,https://www.autoscout24.ch/fr/voitures/volvo--xc60?cond=49&pricefrom=33890&make=81&model=559&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2020-occasion-10920033,VOLVO XC60 2.0 B5 MH Inscription AWD,"Navigation inkl. 360° Kamera, Head-Up Display, Panorama-Schiebedach, LED-Scheinwerfer, 4-Zonen Klimaautomat, Pilot Assist..",CHF 39'800.–,09.2019,SUV / Tout-terrain,89'800 km,Hybride léger diesel/électrique,Automatique,249 PS (183 kW),4 roues motrices,7.2 l/100 km,Oui,27.09.2019,Non,Oui,"Dès la 1ère mise en circulation, 60 mois ou 150'000 km","Sinserstrasse 45, 6330 Cham",Listing ID: 10920033,2023-10-06,CHF 84'910,"Imholz Autohaus AG
Mit unseren 4 Marken und einem grossen Occasionsangebot finden Sie sicher das passende Fahrzeug. Zögern Sie nicht mit Ihrem Wunsch-Auto Probe zu fahren und vereinbaren Sie einen Termin bei uns.

Ob Versicherung, Finanzierung, Teilzahlung oder Miete, wir erstellen Ihnen gerne das passende Angebot für Sie.

Wir freuen uns auf Ihren Besuch.
Imholz Autohaus AG
Familiär - Freundlich - Kundenorientiert

Unsere Standorte:
Peugeot / Volvo
Sinserstrasse 45, 6330 Cham

FordStore (Personenwagen)
Sinserstrasse 55, 6330 Cham

TransitCenter (Ford / Peugeot / Isuzu Nutzfahrzeuge)
Knonauerstrasse 43, 6330 Cham

Occasionen
Knonauerstrasse 43, 6330 Cham

Preis ist excl. Ablieferungspauschale."
1698884984-139,https://www.autoscout24.ch/fr/voitures/volvo--xc60?cond=49&pricefrom=33890&make=81&model=559&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2019-occasion-9879922,VOLVO XC60 2.0 T8 TE Momentum eAWD,*** inkl. Standheizung - Panorama Schiebedach - sofort verfügbar ***,CHF 39'876.–,04.2019,SUV / Tout-terrain,98'055 km,Hybride rechargeable essence/électrique,Automatique,304 PS (223 kW),4 roues motrices,2.3 l/100 km,Oui,29.04.2019,Non,Oui,"Dès la 1ère mise en circulation, 60 mois ou 150'000 km","Freiburgstrasse 396, 3018 Bern",Listing ID: 9879922,2022-11-14,CHF 79'360,
1698884999-140,https://www.autoscout24.ch/fr/voitures/volvo--xc60?cond=49&pricefrom=33890&make=81&model=559&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2018-occasion-10986411,VOLVO XC60 T6 AWD R-Design Geartronic mit Anhängerkupplung,Panorama Dach**LED**Leder**Sitzheizung**Lenkradheizung**Head Up Display**Anhängerkupplung**360° Kamera**Abstandsregler**,CHF 39'880.–,05.2018,SUV / Tout-terrain,114'000 km,Essence,Automatique,310 PS (228 kW),4 roues motrices,10.1 l/100 km,Oui,31.10.2023,Non,Oui,"À partir de la livraison du véhicule, 12 mois","Sinserstrasse 400, 6330 Cham/Zug",Listing ID: 10986411,2023-10-31,Non,"- Über 200 Fahrzeuge auf www.wb-garage.ch
- Plus de 200 véhicules sur www.wb-garage.ch


Wichtige, nennenswerte Ausstattung:
*schon ab CHF 379.90 pro Monat erhältlich
*frisch ab Service
*garantiert unfallfrei
*Tempomat
*Bluetooth (Freisprecheinrichtung)
*Navigationssystem
*Xenon / LED
*Sitzheizung im Fond
*Automat
*Head Up Display
*Rückfahrkamera
*DAB+
*Soundsystem
*Leder
*Parksensoren
*el. Heckklappe
*Anhängerkupplung el. Abschwenkbar
*Memory Sitze
*360° Kamera
*Panorama Dach
*CH-Fahrzeug
*uvm.

12 Monate Garantie möglich ab 650.-

Profittieren Sie von unserer großen Auswahl und langjährigen Erfahrung

* Große Auswahl an Lager- u. Vorlauffahrzeuge
* Top-Occasionen zu Markgerechten Preisen
* Garantie Verlängerung über QUALITY1
* Fahrzeugeintausch zu fairen Preisen
* Finanzierung / Leasing auch ohne Anzahlung
* Lieferservice CH-weit ab CHF 350,-
* Eigene Werkstatt zu fairen Stundenansätzen


Besuchen Sie unsere Ausstellung in Cham und vereinbaren einen Termin. Wir haben verschieden Lagerorte und/oder das Fahrzeug kann sich noch im Vorlauf befinden oder zwischenzeitlich verkauft sein.

Preisänderung, Zwischenverkauf und Irrtum vorbehalten.
Angabe des Neupreises ohne Gewähr.

Der Verkaufspreis versteht sich zzgl. Ablieferungspauschale (falls erwünscht)
CHF 450.- für Reinigung, Volltanken, Vignette, Fußmatten, Ein-Umlösung…."
1698885014-141,https://www.autoscout24.ch/fr/voitures/volvo--xc60?cond=49&pricefrom=33890&make=81&model=559&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2020-occasion-10969429,VOLVO XC60 B5 Benzin Mild Hybrid AWD Inscription Geartronic,"VOLVO XC60 2020, 67 000 km, excellent état, non accidenté, 4 roues motrices hybride léger à essence. Les roues d'été et d'hiv",CHF 39'890.–,02.2020,SUV / Tout-terrain,66'750 km,Hybride léger essence/électrique,Automatique,250 PS (184 kW),4 roues motrices,9 l/100 km,Non,,Non,Non,,"Grand-Pré, 1026 Echandens/VD",Listing ID: 10969429,2023-10-24,Non,"- voiture est super bien entretenue et est en excellent état. 
- Elle est prête à être conduite sur les routes suisses ou européennes.
- Automatique
- Système de navigation performant, géolocalisation avec les smartphone
- Caméra de recul 360
- Sièges en cuir chauffants
- Toit ouvrant panoramique
- Système audio haut de gamme
- Système d'avertissement de collision avant (FCWP)
- Assistant au freinage d'urgence avec détection des piétons et cyclistes
- Assistant d'angle mort avec détection de mouvement à l'arrière
- Avertisseur de sortie de voie (LKA)
- Avertisseur de fatique
- Select speed control
- Caméra 360°
- Système d'alarme avec surveillance de l'intérieur
- ESP Programme électronique de stabilité"
1698885027-142,https://www.autoscout24.ch/fr/voitures/volvo--xc60?cond=49&pricefrom=33890&make=81&model=559&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2021-occasion-10887812,VOLVO XC60 2.0 B4 MH Momentum AWD,,CHF 39'897.–,05.2021,SUV / Tout-terrain,68'500 km,Hybride léger diesel/électrique,Automatique,211 PS (155 kW),4 roues motrices,7.2 l/100 km,Oui,,Non,Oui,"Dès la 1ère mise en circulation, 60 mois ou 150'000 km","Luzernerstrasse 49, 4800 Zofingen",Listing ID: 10887812,2023-09-25,CHF 67'915,Volvo Swiss Premium: 5 Jahre oder 150'000 km Garantie // 10 Jahre oder 150'000 km Gratis-Service (ab 1. Inverkehrsetzung)
1698885041-143,https://www.autoscout24.ch/fr/voitures/volvo--xc60?cond=49&pricefrom=33890&make=81&model=559&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2018-occasion-9943719,VOLVO XC60 D5 AWD Inscription Geartronic,CH-Fahrzeug / Top-Zustand,CHF 39'900.–,07.2018,SUV / Tout-terrain,77'000 km,Diesel,Automatique,235 PS (173 kW),4 roues motrices,8 l/100 km,Oui,25.10.2022,Non,Oui,"Dès la 1ère mise en circulation, 60 mois ou 150'000 km","Farlifangstrasse 12, 8126 Zumikon",Listing ID: 9943719,2022-11-14,Non,"Seit Jahren top Service und Support. Kein Problem zu klein oder zu gross, immer ..."
